fold,feature,importance_mean,importance_std,model,feature_space
5,crop,-0.030024344589094552,0.09070680905634648,ols,raw
1,rain_total_mm,0.007880109436909066,0.013319402453769613,ridge,raw
1,rainy_days_1mm,-0.0005313517049709837,0.0001971998281030722,ridge,raw
1,heavy_rain_days_20mm,-0.03886500914770448,0.049216534318689456,ridge,raw
1,maximum_5day_rainfall_mm,0.015567384459181533,0.0029848632375297428,ridge,raw
1,longest_dry_spell_days,-0.11328903009851618,0.011774837341918006,ridge,raw
1,wet_day_rainfall_cv,0.7134478053084379,0.047245049260738074,ridge,raw
1,temperature_mean_c,0.14145646239878157,0.013098578901040294,ridge,raw
1,temperature_maximum_c,0.4385093329576728,0.04020196934868553,ridge,raw
1,growing_degree_days,-0.13539326354311418,0.03187068509641416,ridge,raw
1,heat_days_32c,-0.10948867495961076,0.05352117026951185,ridge,raw
1,soil_ph,-0.3585256714785997,0.05534994363184508,ridge,raw
1,soil_organic_carbon,0.1948771143370152,0.019571618873490328,ridge,raw
1,clay_pct,0.31416507371304503,0.09092733551949522,ridge,raw
1,sand_pct,-0.002905283301989492,0.0031591317262578745,ridge,raw
1,silt_pct,-0.18646494369341937,0.024006511465870763,ridge,raw
1,bulk_density,0.032642429339157356,0.005784161668374762,ridge,raw
1,cation_exchange_capacity,0.2038684192214771,0.020192990678019784,ridge,raw
1,soil_ph_sd,0.052735966499095975,0.005438523833053312,ridge,raw
1,soil_organic_carbon_sd,-0.2359715624381767,0.025916624548917497,ridge,raw
1,clay_pct_sd,-0.08749660883410151,0.010619262149915758,ridge,raw
1,sand_pct_sd,0.3296518459031098,0.033153427496239354,ridge,raw
1,silt_pct_sd,-0.13812620892571728,0.04881448133453278,ridge,raw
1,bulk_density_sd,0.38256350103346753,0.03695335100801066,ridge,raw
1,cation_exchange_capacity_sd,-0.17679795601864706,0.07006105618819597,ridge,raw
1,season,0.0050014091347886595,0.03248710845473768,ridge,raw
1,crop,0.8610308965900912,0.3578119940741459,ridge,raw
2,rain_total_mm,1.085070376453774,0.13178798032861397,ridge,raw
2,rainy_days_1mm,0.01441089212348885,0.012445218289191358,ridge,raw
2,heavy_rain_days_20mm,0.8209362352745524,0.2410346989691973,ridge,raw
2,maximum_5day_rainfall_mm,0.026428008063194765,0.008211207078082811,ridge,raw
2,longest_dry_spell_days,-0.0025288183303324276,0.029364475470401136,ridge,raw
2,wet_day_rainfall_cv,0.5127228102933318,0.09576706162445203,ridge,raw
2,temperature_mean_c,-0.1762581549392829,0.06901581431459601,ridge,raw
2,temperature_maximum_c,0.09381027560091856,0.0197281718887489,ridge,raw
2,growing_degree_days,-0.18513981689888742,0.0865928267475176,ridge,raw
2,heat_days_32c,0.030224809685521235,0.011678394872203707,ridge,raw
2,soil_ph,-0.12071165784893623,0.049840407919822034,ridge,raw
2,soil_organic_carbon,0.010484469215545023,0.0029754232878535405,ridge,raw
2,clay_pct,0.014778744275194721,0.004532827143619057,ridge,raw
2,sand_pct,-0.01116606768703896,0.0032007374582822285,ridge,raw
2,silt_pct,-0.010599901302856906,0.005067231424015947,ridge,raw
2,bulk_density,-0.15728978098229945,0.06635115404008693,ridge,raw
2,cation_exchange_capacity,-0.005168158698581582,0.0018577359347583334,ridge,raw
2,soil_ph_sd,0.04717416336396827,0.012388001500356897,ridge,raw
2,soil_organic_carbon_sd,0.2294075075911171,0.058257274574125335,ridge,raw
2,clay_pct_sd,0.005121697752383092,0.015165814721974287,ridge,raw
2,sand_pct_sd,-0.004432072290596345,0.0012634670191916412,ridge,raw
2,silt_pct_sd,0.029753068108974823,0.009138396221058342,ridge,raw
2,bulk_density_sd,0.12620010226934628,0.03283492684793986,ridge,raw
2,cation_exchange_capacity_sd,-0.0019762140017273388,0.0036986692240120814,ridge,raw
2,season,-0.02993227548334305,0.03299300341676182,ridge,raw
2,crop,0.6951952765422922,0.1038091205523392,ridge,raw
3,rain_total_mm,-0.19661180889552066,0.11810868134065394,ridge,raw
3,rainy_days_1mm,0.598888625574084,0.06175868219663138,ridge,raw
3,heavy_rain_days_20mm,-0.0017776950955514792,0.01533213977741381,ridge,raw
3,maximum_5day_rainfall_mm,0.3580706558676495,0.0647118889319594,ridge,raw
3,longest_dry_spell_days,-0.30651031440455023,0.06686331403773639,ridge,raw
3,wet_day_rainfall_cv,-0.13288189197132266,0.02851951166894712,ridge,raw
3,temperature_mean_c,-0.0070356673351175125,0.001716646310530452,ridge,raw
3,temperature_maximum_c,0.03252219544064348,0.0796788072954492,ridge,raw
3,growing_degree_days,0.509624111856388,0.0954188527876347,ridge,raw
3,heat_days_32c,0.15099374662055515,0.03885570657529416,ridge,raw
3,soil_ph,0.025387098572137744,0.01931665339728093,ridge,raw
3,soil_organic_carbon,-0.17383288593884688,0.03131414934158875,ridge,raw
3,clay_pct,0.2267524372338899,0.03384031391714269,ridge,raw
3,sand_pct,-0.02805939328617555,0.00788037205256284,ridge,raw
3,silt_pct,0.8247217261209311,0.11807650167381249,ridge,raw
3,bulk_density,0.5746943987516648,0.07261666559663266,ridge,raw
3,cation_exchange_capacity,-0.027972170517436813,0.007093441010533438,ridge,raw
3,soil_ph_sd,0.009612280487620594,0.004683787789663384,ridge,raw
3,soil_organic_carbon_sd,-0.2116205546741136,0.039308084338689424,ridge,raw
3,clay_pct_sd,-0.26687320450928,0.061549409608219016,ridge,raw
3,sand_pct_sd,0.031084553111032243,0.0069792074755364135,ridge,raw
3,silt_pct_sd,0.2474486749623729,0.035074412999518884,ridge,raw
3,bulk_density_sd,-0.30562368934161793,0.13111903450315318,ridge,raw
3,cation_exchange_capacity_sd,-0.07222049578173788,0.016029559758857802,ridge,raw
3,season,-0.0032926149138511997,0.01425727067674411,ridge,raw
3,crop,1.0618393759042992,0.14587786890020285,ridge,raw
4,rain_total_mm,-0.028781092174335932,0.023154186419805812,ridge,raw
4,rainy_days_1mm,0.011008047654978093,0.008571843125983776,ridge,raw
4,heavy_rain_days_20mm,0.04116512328312201,0.08104181267589927,ridge,raw
4,maximum_5day_rainfall_mm,0.06142809693659519,0.04528833161537349,ridge,raw
4,longest_dry_spell_days,-0.00217482552556465,0.010204053610494701,ridge,raw
4,wet_day_rainfall_cv,0.00938242801538891,0.07289958138613205,ridge,raw
4,temperature_mean_c,-0.05027957767914533,0.026723578485447135,ridge,raw
4,temperature_maximum_c,-0.00832065018684922,0.012468928603683913,ridge,raw
4,growing_degree_days,0.12375085508424544,0.029588508920304665,ridge,raw
4,heat_days_32c,0.0,0.0,ridge,raw
4,soil_ph,-0.017118545047981115,0.007087968817893043,ridge,raw
4,soil_organic_carbon,-0.07871383858513212,0.040479390619760754,ridge,raw
4,clay_pct,-0.02862880471769369,0.027570007176737316,ridge,raw
4,sand_pct,0.11135214325540091,0.042056988187440324,ridge,raw
4,silt_pct,0.27901345864530125,0.07470900482688891,ridge,raw
4,bulk_density,0.4227883622322695,0.10217261402489858,ridge,raw
4,cation_exchange_capacity,-0.11502441978752369,0.08222678388139772,ridge,raw
4,soil_ph_sd,-0.02678301376480423,0.02607132882380741,ridge,raw
4,soil_organic_carbon_sd,-0.041215257364286016,0.03392020292835707,ridge,raw
