district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Amudat,1.7105038023994157,34.778613739131046,39.13333333333333,39.18333333333333,21.7,22.9,1.2516666666666665,20.65,6.2,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kaabong,3.4513383856017197,33.99402537180229,32.3,45.03333333333334,22.68333333333333,17.533333333333335,1.2733333333333334,24.616666666666667,6.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kotido,3.1140191410414144,33.823586326362026,33.733333333333334,40.86666666666667,25.4,17.616666666666667,1.2716666666666667,22.35,6.45,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Moroto,2.4546842468939127,34.67330217331044,36.18333333333333,39.5,24.31666666666667,18.866666666666667,1.2933333333333334,27.383333333333333,6.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Nakapiripirit,1.7101543051354364,34.565217022071316,42.95,33.33333333333333,23.716666666666665,27.15,1.2533333333333332,26.65,6.3,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Napak,2.4977812437858136,34.13805428828976,36.18333333333333,38.16666666666667,25.65,18.583333333333336,1.315,24.55,6.65,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kabale,-1.3222487711517437,30.013791310666353,44.81666666666666,30.583333333333332,24.65,30.133333333333333,1.245,21.616666666666667,5.5,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kanungu,-0.7963978009044944,29.734042696813482,36.06666666666667,34.06666666666667,29.866666666666667,29.866666666666664,1.265,19.383333333333333,5.65,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kisoro,-1.1497486032806357,29.67520247315182,43.41666666666667,31.48333333333333,25.1,45.05,1.0533333333333332,27.95,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Rubanda,-1.1097997431438307,29.83123852360904,37.88333333333334,31.616666666666667,30.53333333333333,48.416666666666664,1.0916666666666668,28.5,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
