spatial_unit,date,rain_mm
South Buganda,2016-10-19,0.0
South Buganda,2016-10-20,0.5140588680903116
South Buganda,2016-10-21,1.3751404682795207
South Buganda,2016-10-22,0.0
South Buganda,2016-10-23,0.0
South Buganda,2016-10-24,0.8403428792953491
South Buganda,2016-10-25,1.3858023484547932
South Buganda,2016-10-26,6.433116992314656
South Buganda,2016-10-27,7.67111200094223
South Buganda,2016-10-28,2.267532229423523
South Buganda,2016-10-29,2.1397806803385415
South Buganda,2016-10-30,1.0519733627637227
South Buganda,2016-10-31,2.556413491566976
South Buganda,2016-11-01,4.90103264649709
South Buganda,2016-11-02,7.005522390206655
South Buganda,2016-11-03,5.846856713294983
South Buganda,2016-11-04,0.5656809210777283
South Buganda,2016-11-05,2.079459011554718
South Buganda,2016-11-06,6.459183772404988
South Buganda,2016-11-07,2.5226238965988155
South Buganda,2016-11-08,0.0
South Buganda,2016-11-09,3.639993667602539
South Buganda,2016-11-10,1.1371326049168904
South Buganda,2016-11-11,20.290424903233845
South Buganda,2016-11-12,2.676370700200399
South Buganda,2016-11-13,0.5404030481974283
South Buganda,2016-11-14,2.052832762400309
South Buganda,2016-11-15,6.183429559071858
South Buganda,2016-11-16,2.43829878171285
South Buganda,2016-11-17,3.756799499193827
South Buganda,2016-11-18,6.10478397210439
South Buganda,2016-11-19,15.898627638816833
South Buganda,2016-11-20,0.4309838612874349
South Buganda,2016-11-21,0.2482790152231852
South Buganda,2016-11-22,0.32878810167312617
South Buganda,2016-11-23,3.5151143868764243
South Buganda,2016-11-24,0.31257269779841107
South Buganda,2016-11-25,6.541628181934357
South Buganda,2016-11-26,0.0
South Buganda,2016-11-27,9.153702656428019
South Buganda,2016-11-28,0.7601485451062521
South Buganda,2016-11-29,7.316400428613027
South Buganda,2016-11-30,2.410698652267456
South Buganda,2016-12-01,0.0
South Buganda,2016-12-02,10.970260580380758
South Buganda,2016-12-03,8.458927750587463
South Buganda,2016-12-04,1.8062959512074788
South Buganda,2016-12-05,0.0
South Buganda,2016-12-06,0.0
South Buganda,2016-12-07,0.0
South Buganda,2016-12-08,7.02807601292928
South Buganda,2016-12-09,0.0
South Buganda,2016-12-10,0.0
South Buganda,2016-12-11,18.895790179570515
South Buganda,2016-12-12,0.72747802734375
South Buganda,2016-12-13,0.0
South Buganda,2016-12-14,0.0
South Buganda,2016-12-15,0.0
South Buganda,2016-12-16,0.0
South Buganda,2016-12-17,0.7348674138387045
South Buganda,2016-12-18,1.578489621480306
South Buganda,2016-12-19,0.0
South Buganda,2016-12-20,0.0
South Buganda,2016-12-21,0.0
South Buganda,2016-12-22,0.8402180075645447
South Buganda,2016-12-23,0.0
South Buganda,2016-12-24,0.0
South Buganda,2016-12-25,0.0
South Buganda,2016-12-26,0.8176925182342529
South Buganda,2016-12-27,0.0
South Buganda,2016-12-28,0.0
South Buganda,2016-12-29,0.0
South Buganda,2016-12-30,9.51458481947581
South Buganda,2016-12-31,10.165540417035421
South Buganda,2017-01-01,1.9805510540803273
South Buganda,2017-01-02,0.0
South Buganda,2017-01-03,0.0
South Buganda,2017-01-04,0.42360206445058185
South Buganda,2017-01-05,0.0
South Buganda,2017-01-06,0.0
South Buganda,2017-01-07,0.0
South Buganda,2017-01-08,0.0
South Buganda,2017-01-09,0.0
South Buganda,2017-01-10,0.0
South Buganda,2017-01-11,0.4041878779729207
South Buganda,2017-01-12,0.0
South Buganda,2017-01-13,0.0
South Buganda,2017-01-14,0.0
South Buganda,2017-01-15,0.0
South Buganda,2017-01-16,0.0
South Buganda,2017-01-17,0.0
South Buganda,2017-01-18,0.0
South Buganda,2017-01-19,0.0
South Buganda,2017-01-20,0.0
South Buganda,2017-01-21,1.050775537888209
South Buganda,2017-01-22,3.586135824521383
South Buganda,2017-01-23,0.27579676111539203
South Buganda,2017-01-24,0.0
South Buganda,2017-01-25,0.0
South Buganda,2017-01-26,0.32284335295359295
South Buganda,2017-01-27,0.0
South Buganda,2017-01-28,2.3934739232063293
South Buganda,2017-01-29,9.036006569862366
South Buganda,2017-01-30,0.3068905671437581
South Buganda,2017-01-31,8.75167957941691
South Buganda,2017-02-01,1.919695258140564
South Buganda,2017-02-02,1.9580642481644948
South Buganda,2017-02-03,3.9477111299832663
South Buganda,2017-02-04,5.233447909355164
South Buganda,2017-02-05,0.0
South Buganda,2017-02-06,2.5640791853268943
South Buganda,2017-02-07,0.49140429496765137
South Buganda,2017-02-08,0.0
South Buganda,2017-02-09,0.0
South Buganda,2017-02-10,0.0
South Buganda,2017-02-11,1.5648786375919979
South Buganda,2017-02-12,0.0
South Buganda,2017-02-13,0.0
South Buganda,2017-02-14,3.404601603746414
South Buganda,2017-02-15,1.6154030859470367
South Buganda,2017-02-16,0.0
South Buganda,2017-02-17,6.744891921679179
South Buganda,2017-02-18,5.41939651966095
South Buganda,2017-02-19,3.8891380727291107
South Buganda,2017-02-20,4.191514392693837
South Buganda,2017-02-21,7.851996262868245
South Buganda,2017-02-22,14.538627743721008
South Buganda,2017-02-23,1.141462008158366
South Buganda,2017-02-24,8.593634883562723
South Buganda,2017-02-25,7.768606285254161
South Buganda,2017-02-26,0.9497717221577963
South Buganda,2017-02-27,5.796268006165822
South Buganda,2017-02-28,0.5247412323951721
South Buganda,2017-03-01,11.054782072703043
South Buganda,2017-03-02,2.3148657083511353
South Buganda,2017-03-03,10.06448519229889
South Buganda,2017-03-04,10.10311230023702
South Buganda,2017-03-05,0.0
South Buganda,2017-03-06,0.3236782451470693
South Buganda,2017-03-07,0.580755352973938
South Buganda,2017-03-08,0.5032878319422404
South Buganda,2017-03-09,7.518471876780192
South Buganda,2017-03-10,0.10996322830518086
South Buganda,2017-03-11,1.6158332029978435
South Buganda,2017-03-12,1.4148610432942708
South Buganda,2017-03-13,0.0
South Buganda,2017-03-14,1.6446805795033772
South Buganda,2017-03-15,15.251563588778177
South Buganda,2017-03-16,18.86474355061849
South Buganda,2017-03-17,9.579874714215597
South Buganda,2017-03-18,1.7888619899749756
South Buganda,2017-03-19,12.565752347310385
South Buganda,2017-03-20,3.284557064374288
South Buganda,2017-03-21,5.462390104929606
South Buganda,2017-03-22,3.0917246341705322
South Buganda,2017-03-23,2.639606992403666
South Buganda,2017-03-24,7.2529066403706866
South Buganda,2017-03-25,18.182909727096558
South Buganda,2017-03-26,0.0
South Buganda,2017-03-27,2.6562829415003457
South Buganda,2017-03-28,10.456985036532084
South Buganda,2017-03-29,2.8682721058527627
South Buganda,2017-03-30,10.495532830556234
South Buganda,2017-03-31,5.062922398249309
South Buganda,2017-04-01,2.980088472366333
South Buganda,2017-04-02,0.0
South Buganda,2017-04-03,0.0
South Buganda,2017-04-04,0.0
South Buganda,2017-04-05,7.706228772799174
South Buganda,2017-04-06,6.631715575853984
South Buganda,2017-04-07,13.229599436124166
South Buganda,2017-04-08,10.381977717081705
South Buganda,2017-04-09,3.182442307472229
South Buganda,2017-04-10,0.7888791561126709
South Buganda,2017-04-11,0.6056517561276754
South Buganda,2017-04-12,12.54908541838328
South Buganda,2017-04-13,1.125166396299998
South Buganda,2017-04-14,0.0
South Buganda,2017-04-15,0.5195146401723226
South Buganda,2017-04-16,15.425540884335836
South Buganda,2017-04-17,12.564957658449808
South Buganda,2017-04-18,8.924144268035889
South Buganda,2017-04-19,5.088601032892863
South Buganda,2017-04-20,8.661318818728128
South Buganda,2017-04-21,10.301494677861532
South Buganda,2017-04-22,9.659539461135864
South Buganda,2017-04-23,7.58974043528239
South Buganda,2017-04-24,13.098522186279297
South Buganda,2017-04-25,24.123578310012817
South Buganda,2017-04-26,4.324145396550496
South Buganda,2017-04-27,5.775125344594319
South Buganda,2017-04-28,6.862987041473389
South Buganda,2017-04-29,13.921826124191284
South Buganda,2017-04-30,1.805713415145874
South Buganda,2017-05-01,15.681054790814718
South Buganda,2017-05-02,1.8243240118026733
South Buganda,2017-05-03,3.227579355239868
South Buganda,2017-05-04,3.8987712462743125
South Buganda,2017-05-05,20.19923973083496
South Buganda,2017-05-06,12.770294348398844
South Buganda,2017-05-07,13.846819519996643
South Buganda,2017-05-08,15.900637467702232
South Buganda,2017-05-09,8.333994229634603
South Buganda,2017-05-10,0.5248075723648071
South Buganda,2017-05-11,0.0
South Buganda,2017-05-12,2.2466136614481607
South Buganda,2017-05-13,2.706331809361776
South Buganda,2017-05-14,4.763120730717977
South Buganda,2017-05-15,2.706331809361776
South Buganda,2017-05-16,4.8836202422777815
South Buganda,2017-05-17,6.714334805806478
South Buganda,2017-05-18,2.990165968736013
South Buganda,2017-05-19,7.125359296798706
South Buganda,2017-05-20,3.6633154352506003
South Buganda,2017-05-21,3.232512275377909
South Buganda,2017-05-22,0.0
South Buganda,2017-05-23,1.2477627595265706
South Buganda,2017-05-24,1.0048993428548176
South Buganda,2017-05-25,0.0
South Buganda,2017-05-26,0.0
South Buganda,2017-05-27,0.9656214714050293
South Buganda,2017-05-28,0.0
South Buganda,2017-05-29,0.0
South Buganda,2017-05-30,23.996376514434814
South Buganda,2017-05-31,3.5154947439829507
South Buganda,2017-06-01,3.014449179172516
South Buganda,2017-06-02,0.3031674424807231
South Buganda,2017-06-03,1.9323877692222595
South Buganda,2017-06-04,0.0
South Buganda,2017-06-05,0.7576208313306173
South Buganda,2017-06-06,0.0
South Buganda,2017-06-07,0.5427175760269165
South Buganda,2017-06-08,0.14005684852600095
South Buganda,2017-06-09,3.1383096973101297
South Buganda,2017-06-10,0.0
South Buganda,2017-06-11,0.0
South Buganda,2017-06-12,0.0
South Buganda,2017-06-13,0.0
South Buganda,2017-06-14,0.0
South Buganda,2017-06-15,2.7690243323644004
South Buganda,2017-06-16,3.615066409111023
South Buganda,2017-06-17,3.145627439022064
South Buganda,2017-06-18,4.812233050664266
South Buganda,2017-06-19,1.246787925561269
South Buganda,2017-06-20,0.6955730319023132
South Buganda,2017-06-21,0.0
South Buganda,2017-06-22,0.291331946849823
South Buganda,2017-06-23,5.853944897651672
South Buganda,2017-06-24,0.0
South Buganda,2017-06-25,0.291331946849823
South Buganda,2017-06-26,0.6952382723490397
South Buganda,2017-06-27,0.6952382723490397
South Buganda,2017-06-28,1.208605488141378
South Buganda,2017-06-29,8.57958310842514
South Buganda,2017-06-30,0.945825974146525
South Buganda,2017-07-01,0.9665538867314657
South Buganda,2017-07-02,0.41946975390116376
South Buganda,2017-07-03,6.829325874646504
South Buganda,2017-07-04,1.4479654630025227
South Buganda,2017-07-05,10.638368884722391
South Buganda,2017-07-06,5.134733180205028
South Buganda,2017-07-07,0.46758981545766193
South Buganda,2017-07-08,0.6237690150737761
South Buganda,2017-07-09,0.0
South Buganda,2017-07-10,0.0
South Buganda,2017-07-11,0.0
South Buganda,2017-07-12,0.0
South Buganda,2017-07-13,0.0
South Buganda,2017-07-14,0.0
South Buganda,2017-07-15,5.094018906354904
South Buganda,2017-07-16,1.544596900542577
South Buganda,2017-07-17,0.0
South Buganda,2017-07-18,1.1220538914203644
South Buganda,2017-07-19,0.0
South Buganda,2017-07-20,0.15505324800809225
South Buganda,2017-07-21,0.0
South Buganda,2017-07-22,5.670622547467549
