district,clim_annual_mean,clim_annual_std,clim_MAM_mean,clim_MAM_std,clim_SON_mean,clim_SON_std,clim_DJF_mean,clim_DJF_std,clim_JJA_mean,clim_JJA_std
Nakaseke,1246.3090209960938,107.80890014169792,446.0867156982422,60.588308370316575,399.8014373779297,67.77293686923112,149.0558624267578,42.22805506247465,251.36500549316406,39.69176529641685
Nakasongola,1143.0387878417969,99.49001695287161,404.6541519165039,62.05875585581531,365.8857955932617,53.10596909540666,126.14902877807617,41.40999870552394,246.34981155395508,38.8837028658178
Bukomansimbi,1067.9472255706787,97.11667004861648,397.0757598876953,45.46175700405686,335.8292694091797,59.74592398857868,199.1776885986328,50.18738180423938,135.8645076751709,35.72852537990354
Butambala,1320.3162422180176,124.32560308675151,467.11524963378906,60.328811207274875,393.1205825805664,74.45043721455441,248.09396362304688,64.97104080772803,211.98644638061523,45.312099665803316
Gomba,1176.6146926879883,111.04967122253984,379.3420715332031,41.53878323442864,400.7677688598633,74.41297355331677,224.29744720458984,57.11012502716986,172.20740509033203,42.51707836119211
Kalangala,2055.9305725097656,197.54562115091764,926.5799560546875,134.2899396437284,419.69573974609375,90.12829325872873,387.9141540527344,88.24808491856227,321.74072265625,71.27166904780943
Kalungu,1142.506052017212,112.89002919565341,444.8728332519531,58.929190204084776,340.83241271972656,69.33220780468262,223.5689697265625,57.14973885803758,133.23183631896973,34.618803316589315
Lwengo,1055.507230758667,93.31527372501904,414.1900100708008,57.34934514234537,323.5746154785156,52.164639432899925,207.78673934936523,42.11054483633289,109.95586585998535,30.40304801400864
Lyantonde,957.8528594970703,83.89362192973695,331.46131134033203,45.54408982040558,325.97264099121094,51.23606748124426,180.7356948852539,34.28517782325475,119.68321228027344,34.106709803287316
Masaka,1209.512300491333,110.02961372501878,543.4096221923828,69.50928188000385,307.8219757080078,59.62959693310789,227.44691848754883,52.849768767233186,130.83378410339355,30.433349139522633
Mpigi,1365.7512855529785,127.01331958740872,493.59361267089844,67.28084391854429,397.42549896240234,73.00230784682383,248.81185913085938,64.92434921690993,225.92031478881836,45.40003658610855
Rakai,1075.1218643188477,91.99451647157896,439.69085693359375,56.83163070191647,330.6307907104492,54.30748730724163,211.7744903564453,40.21888756142762,93.02572631835938,25.81268522055833
Ssembabule,962.1287384033203,89.80207394686117,344.67015838623047,43.02111666956356,322.53382110595703,59.86951892656297,178.73678970336914,39.294199587066615,116.18796920776367,32.94241320812753
Wakiso,1255.5825004577637,121.03080798322878,472.68080139160156,67.44767625740255,348.14562225341797,67.04499066342356,223.77231979370117,61.656109673858026,210.98375701904297,42.45893092597189
Amuria,1343.4522094726562,144.66669735713444,416.9744873046875,72.92441208095771,366.6400375366211,80.25160290471696,90.98348236083984,40.505495687754355,468.8542022705078,86.77251003157818
Bukedea,1375.357521057129,136.99051107972414,468.96988677978516,76.61243037498846,363.0563049316406,74.77293138332536,120.12518310546875,47.3447674673021,423.2061462402344,71.16471993715133
Kaberamaido,1339.8100337982178,135.25512385262456,428.5087356567383,72.24854202686336,439.0594253540039,82.58881548617005,111.55568504333496,41.590738624073225,360.6861877441406,67.25618722970216
Katakwi,1196.1660499572754,136.11713061624607,384.3090133666992,73.82971559954662,310.73961639404297,77.85903340372323,76.93161392211914,36.18669442816698,424.18580627441406,75.53502767253508
Kumi,1258.8098106384277,133.19466847054173,487.2272720336914,80.28972126304832,300.3640365600586,63.46894529702739,112.91133499145508,53.01595581767141,358.30716705322266,66.74864627916577
Ngora,1280.8545017242432,131.171048821389,489.9612503051758,80.37913576520164,331.01175689697266,63.965623226651616,108.18913459777832,47.27724447981377,351.6923599243164,66.47029247840325
Serere,1361.1182708740234,135.88858580061387,499.1354675292969,82.1649830001549,399.2982940673828,72.26111608313661,119.01754760742188,42.409152404189825,343.6669616699219,68.51582455354904
Soroti,1396.8021411895752,147.62039766858936,480.2476272583008,78.1793413680295,401.0349884033203,86.3952167515741,104.3311710357666,43.975820188794444,411.1883544921875,79.25759365679058
Bundibugyo,1244.9109802246094,99.41577742070062,375.4974899291992,45.683824791846725,335.6159896850586,42.04775695101688,205.9200210571289,46.971066211252065,327.87747955322266,61.823862924574065
Kabarole,1352.9764442443848,108.34560466144137,416.4283905029297,54.64392083759311,520.7818298339844,70.90653831091726,186.9038429260254,43.47826774999086,228.8623809814453,42.833573551254524
Kamwenge,1110.4748191833496,94.73219653220977,344.3078308105469,46.842266365713165,419.3435516357422,60.7189424629402,160.30326461791992,40.39751972965691,186.52017211914062,38.226189548723454
Kasese,1090.8292083740234,87.23528385738116,358.2865219116211,47.295959808703216,370.48436737060547,46.437449789577165,173.73187255859375,37.22888501935731,188.32644653320312,42.78621638690864
Kyegegwa,1117.6457710266113,92.70201949785833,348.4280471801758,48.207297343228774,410.89402770996094,55.769687388018816,151.5788116455078,34.30205020979418,206.7448844909668,44.52900427687831
Kyenjojo,1212.546474456787,96.54393223437793,369.25474548339844,51.48717130328078,453.6345977783203,60.144737817324156,150.44892501831055,36.13202280291418,239.2082061767578,41.79580700881139
Adjumani,1378.7280006408691,111.78877387589473,401.65807342529297,59.63522924839627,427.1181640625,60.793902727221806,71.22800827026367,28.364698607877834,478.7237548828125,66.63268463182685
Arua,1289.769347190857,104.81448374422368,352.59471130371094,55.587312263547766,440.1048889160156,58.029837477698074,78.91528987884521,31.738643119032737,418.15445709228516,59.34073822558653
Koboko,1391.1011009216309,114.63248895043357,374.0228576660156,55.11413866377177,456.5039520263672,68.52168920392991,73.45934677124023,24.56924822151259,487.1149444580078,69.312115772003
Maracha,1387.1041660308838,111.04987965680127,358.4449234008789,51.72702760778606,473.83609771728516,66.44492608853582,83.89950752258301,34.16331527061129,470.9236373901367,63.83047918873248
Moyo,1286.7596673965454,108.40650091879598,344.33311462402344,53.72222094132982,415.5060729980469,66.44793664563947,55.534485816955566,20.533723422914115,471.38599395751953,63.473855535300586
Nebbi,1025.2475690841675,78.99063773617029,293.59362030029297,37.36667713496741,358.85562896728516,48.45270858027837,72.84253978729248,26.558675938898507,299.9557800292969,42.3110393805823
Yumbe,1239.7896814346313,100.80776244900785,342.4830322265625,53.61469164246198,409.87467193603516,59.3992224902151,56.18775272369385,20.10346325472389,431.24422454833984,57.92454525314122
Zombo,1339.4250812530518,100.77614363763699,359.0475082397461,46.81265312925243,458.8125686645508,54.05840269162366,101.27592658996582,35.62355199607348,420.28907775878906,61.42522507152287
