spatial_unit,date,tmax_c,tmin_c
Acholi,2016-03-26,39.48125,22.388749999999998
Acholi,2016-03-27,39.255,23.355
Acholi,2016-03-28,38.75125,23.61
Acholi,2016-03-29,39.1025,25.1225
Acholi,2016-03-30,35.6975,24.23
Acholi,2016-03-31,32.725,23.1225
Acholi,2016-04-01,34.222500000000004,21.814999999999998
Acholi,2016-04-02,32.045,21.18125
Acholi,2016-04-03,31.8625,22.05
Acholi,2016-04-04,30.3725,21.80125
Acholi,2016-04-05,30.6175,21.8175
Acholi,2016-04-06,35.958749999999995,20.9375
Acholi,2016-04-07,36.432500000000005,21.9325
Acholi,2016-04-08,35.097500000000004,21.66375
Acholi,2016-04-09,35.41625,21.96125
Acholi,2016-04-10,33.98125,22.3325
Acholi,2016-04-11,34.46,22.353749999999998
Acholi,2016-04-12,34.6975,21.9725
Acholi,2016-04-13,26.5475,21.4825
Acholi,2016-04-14,29.03125,20.405
Acholi,2016-04-15,29.82875,21.11875
Acholi,2016-04-16,29.64125,21.3225
Acholi,2016-04-17,29.541249999999998,20.6575
Acholi,2016-04-18,31.32125,20.353749999999998
Acholi,2016-04-19,30.735,20.971249999999998
Acholi,2016-04-20,33.0275,20.39375
Acholi,2016-04-21,32.7175,21.82
Acholi,2016-04-22,34.875,22.05
Acholi,2016-04-23,31.21875,22.1125
Acholi,2016-04-24,30.83,21.46
Acholi,2016-04-25,30.369999999999997,21.521250000000002
Acholi,2016-04-26,28.28,20.6675
Acholi,2016-04-27,27.6275,20.75125
Acholi,2016-04-28,29.369999999999997,19.53125
Acholi,2016-04-29,27.59,19.59
Acholi,2016-04-30,28.8175,19.06125
Acholi,2016-05-01,26.515,20.353749999999998
Acholi,2016-05-02,28.82125,19.33125
Acholi,2016-05-03,29.85875,20.44
Acholi,2016-05-04,28.0225,20.84875
Acholi,2016-05-05,28.2375,20.06625
Acholi,2016-05-06,24.1825,19.7525
Acholi,2016-05-07,27.2025,19.09875
Acholi,2016-05-08,28.61875,19.4075
Acholi,2016-05-09,28.63875,19.52375
Acholi,2016-05-10,26.331249999999997,19.47625
Acholi,2016-05-11,24.545,18.8375
Acholi,2016-05-12,28.6875,18.395
Acholi,2016-05-13,29.20125,18.845
Acholi,2016-05-14,28.8875,20.125
Acholi,2016-05-15,30.0925,19.24
Acholi,2016-05-16,27.835,20.00125
Acholi,2016-05-17,28.53875,18.54625
Acholi,2016-05-18,28.56625,19.32875
Acholi,2016-05-19,27.5375,19.19875
