model,feature_space,observations,rmse,mae,r2,skill_vs_training_global_mean,skill_vs_training_crop_mean,target_scale,result_scope,registered_primary_metric,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper,global_skill_ci_lower,global_skill_ci_upper,crop_skill_ci_lower,crop_skill_ci_upper,crop
ridge,hybrid,27,1.3458162877420539,1.0264636561126652,-10.836407036012384,0.16220237328412523,-9.329302748041348,raw,per_crop,False,,,,,,,,,millet
ridge,hybrid,24,1.5281917528869897,1.1922908829320253,-4.001140984071407,-2.2458256233924905,-3.1092625024036744,raw,per_crop,False,,,,,,,,,rice
ridge,hybrid,20,1.7070473924628555,1.2317799619294418,-54.788616110382485,-0.11722245867384307,-53.73609913825406,raw,per_crop,False,,,,,,,,,simsim
ridge,hybrid,28,1.3980411189308448,1.1309961496027905,-1.0064963821035247,-0.3297095754972783,-0.9013588221903479,raw,per_crop,False,,,,,,,,,sorghum
ridge,hybrid,25,8.936979148294409,3.2979697940562662,-0.09002364589109257,-0.07772606573893781,0.0030663598541429415,raw,per_crop,False,,,,,,,,,soya_beans
ridge,hybrid,26,4.265576906092099,3.176869455064115,-0.15712886102384926,0.44158383523888645,-0.11199447157319509,raw,per_crop,False,,,,,,,,,sweet_potatoes
ridge,pca,27,0.6540215665625093,0.43815706828343115,-5.860245837072151,0.719169707275126,-5.958144812880226,crop_centered,per_crop,False,,,,,,,,,beans
ridge,pca,28,0.6180894331118336,0.45162982485108055,-9.211177999998638,0.8191245906598099,-9.649912295696929,crop_centered,per_crop,False,,,,,,,,,groundnuts
ridge,pca,16,1.9394895386527835,1.6866137718444167,0.3439761209212031,0.6701518594389069,0.36878455107814356,crop_centered,per_crop,False,,,,,,,,,irish_potatoes
ridge,pca,28,1.2930189496839217,0.9511426708809952,0.13819336554970696,0.1804287369769072,0.0964660664363074,crop_centered,per_crop,False,,,,,,,,,maize
ridge,pca,27,0.5379532223658426,0.3954354540608192,-0.7233728891086841,0.866138221037499,-0.650397180898179,crop_centered,per_crop,False,,,,,,,,,millet
ridge,pca,24,0.9641890495763183,0.6909475170209323,-0.5854474728907466,-0.2920932889666894,-0.6358089182895739,crop_centered,per_crop,False,,,,,,,,,rice
ridge,pca,20,0.8020773071485473,0.5533488593126116,-10.750497531868428,0.7533500914660698,-11.084123212112964,crop_centered,per_crop,False,,,,,,,,,simsim
ridge,pca,28,0.9057915799807224,0.7502307967776952,0.2544310893285001,0.44182103665044725,0.20185691982489062,crop_centered,per_crop,False,,,,,,,,,sorghum
ridge,pca,25,9.003425139911252,3.595259120299188,5.922369007282935e-05,-0.09381131925936437,-0.01181305232170815,crop_centered,per_crop,False,,,,,,,,,soya_beans
ridge,pca,26,3.8396230492192274,2.875645040720995,0.05835159644218513,0.5475406067607238,0.09900111127930233,crop_centered,per_crop,False,,,,,,,,,sweet_potatoes
ridge,pca,27,1.6776141826180564,1.1139768812179132,-45.64143055883403,-0.8477533212458461,-44.78186727279018,raw,per_crop,False,,,,,,,,,beans
ridge,pca,28,1.363815909594361,0.9109652553290987,-51.921533270165334,0.11938030557848534,-50.8507327539116,raw,per_crop,False,,,,,,,,,groundnuts
ridge,pca,16,1.4395757526244901,1.1524267270723474,0.5738515638706148,0.8182777089801324,0.652246281242963,raw,per_crop,False,,,,,,,,,irish_potatoes
ridge,pca,28,1.2342666365454638,0.8871682950332866,0.11181827865652005,0.25321614145310767,0.17671032687765942,raw,per_crop,False,,,,,,,,,maize
ridge,pca,27,1.0876334645667682,0.8079947257404712,-6.730604488713398,0.45281688319624314,-5.746283221448734,raw,per_crop,False,,,,,,,,,millet
ridge,pca,24,1.4719077293918044,1.0851983300690309,-3.6395361846148235,-2.011137953647501,-2.8121444951671632,raw,per_crop,False,,,,,,,,,rice
ridge,pca,20,1.7967122154906312,1.1172804481451584,-60.803272598331354,-0.237671929875088,-59.63728215300254,raw,per_crop,False,,,,,,,,,simsim
ridge,pca,28,1.0988435426126146,0.8789893405066144,-0.23956758777631726,0.17853582710462612,-0.17461600715615289,raw,per_crop,False,,,,,,,,,sorghum
ridge,pca,25,8.919014401266237,3.449169453917334,-0.08564580920489906,-0.0733976195386703,0.007070321309458949,raw,per_crop,False,,,,,,,,,soya_beans
ridge,pca,26,3.920801709279926,2.770232297307085,0.02236682474314866,0.5282062468071924,0.06049989527505106,raw,per_crop,False,,,,,,,,,sweet_potatoes
ridge,raw,27,0.8370744275379421,0.5832462022891113,-10.237861849279767,0.5399680845720488,-10.39823149075411,crop_centered,per_crop,False,,,,,,,,,beans
ridge,raw,28,0.8192340344944709,0.6139180908630394,-16.938626266994003,0.6822446568805618,-17.709378726802804,crop_centered,per_crop,False,,,,,,,,,groundnuts
ridge,raw,16,1.7971480177935457,1.5914156430812216,0.43673539501422287,0.7167911283056798,0.45803600777894193,crop_centered,per_crop,False,,,,,,,,,irish_potatoes
